name,price,category_id,image
TechVision Advanced Monitor 4499,4377.46,1,
MegaTech Premium Webcam 2599,2785.41,1,
TechPro Industrial Scanner 2735,2910.62,1,
ElectroMax Pro Console 8304,1230.49,1,
DigiCorp Deluxe Microphone 7583,1338.19,1,
TechVision Heavy-Duty Monitor 6983,763.96,1,
TechPro Basic Cable 6638,3547.5,1,
MegaTech Professional Charger 7826,1811.13,1,
TechVision Elite Controller 3104,2476.94,1,
DigiCorp Heavy-Duty Phone 8340,3269.3,1,
ElectroMax Standard Tablet 2082,1292.38,1,
SmartTech Advanced Camera 4323,4396.42,1,
DigiCorp Deluxe Mouse 8279,4761.56,1,
ProElectronics Advanced Camera 5089,400.68,1,
MegaTech Professional Monitor 2004,1630.85,1,
MegaTech Deluxe Controller 7259,2999.04,1,
GadgetHub Basic Controller 4980,30.54,1,
TechVision Wireless Router 9364,2546.74,1,
SmartTech Wireless Monitor 4179,2385.27,1,
TechVision Digital Cable 3851,23.87,1,
MegaTech Portable Headphones 8308,2320.91,1,
TechPro Ultimate Webcam 2531,2746.72,1,
TechVision Basic Scanner 7939,67.25,1,
MegaTech Ultimate Printer 6805,2408.17,1,
GadgetHub Deluxe Camera 4318,4861.9,1,
MegaTech Digital Webcam 7402,1056.13,1,
ElectroMax Superior Microphone 5057,2008.42,1,
GadgetHub Professional Speaker 6971,4305.52,1,
TechVision Superior Console 9580,794.45,1,
DigiCorp Elite Laptop 4079,93.31,1,
ProElectronics Elite Adapter 6267,2936.77,1,
MegaTech Advanced Camera 6691,4032.64,1,
DigiCorp Basic Controller 4179,3567.92,1,
MegaTech Advanced Webcam 4910,2885.31,1,
DigitalWave Portable Phone 2286,1047.74,1,
TechVision Professional Speaker 2846,4090.3,1,
DigitalWave Deluxe Router 1572,2464.06,1,
ProElectronics Classic Adapter 5632,2715.01,1,
DigitalWave Superior Camera 9619,1890.65,1,
InnovateTech Pro Laptop 3528,836.16,1,
DigiCorp Compact Keyboard 8040,651.45,1,
DigiCorp Superior Mouse 6907,2114.37,1,
TechVision Digital Camera 7342,2908.08,1,
DigitalWave Commercial Cable 3309,3025.15,1,
DigitalWave Wireless Phone 4743,4777.32,1,
TechVision Smart Microphone 6312,3320.49,1,
TechVision Basic Webcam 2777,2570.92,1,
ElectroMax Advanced Printer 7742,57.14,1,
UltraGadget Basic Tablet 7571,1976.4,1,
GadgetHub Modern Router 5916,4282.57,1,
DigitalWave Portable Charger 5676,624.74,1,
UltraGadget Premium Webcam 5860,4223.54,1,
TechPro Standard Scanner 5455,851.22,1,
GadgetHub Smart Headphones 3196,3935.83,1,
SmartTech Digital Switch 3890,3772.74,1,
TechPro Digital Phone 8561,440.03,1,
ElectroMax Elite Switch 7383,3937.02,1,
MegaTech Basic Router 9723,4108.23,1,
DigitalWave Deluxe Phone 6985,2215.86,1,
TechPro Premium Scanner 3602,1371.29,1,
InnovateTech Elite Router 9499,4857.64,1,
MegaTech Classic Mouse 4355,62.9,1,
ProElectronics Superior Printer 9093,1694.22,1,
DigitalWave Enhanced Router 4899,981.14,1,
ProElectronics Compact Laptop 8619,1559.06,1,
MegaTech Premium Switch 5653,1317.01,1,
TechVision Premium Camera 4681,1818.69,1,
DigitalWave Digital Adapter 5430,3755.57,1,
ProElectronics Industrial Mouse 9409,4756.44,1,
DigiCorp Enhanced Printer 9064,4741.99,1,
UltraGadget Smart Monitor 8435,2564,1,
TechVision Wireless Keyboard 1865,4009.43,1,
MegaTech Portable Scanner 5382,672.9,1,
UltraGadget Smart Console 8305,4039.6,1,
ElectroMax Basic Phone 1581,4092.8,1,
ElectroMax Superior Charger 1697,12.93,1,
UltraGadget Premium Mouse 4926,800.28,1,
MegaTech Classic Monitor 1533,628,1,
TechVision Advanced Printer 7797,237.88,1,
MegaTech Pro Laptop 2787,2887.13,1,
ProElectronics Portable Headphones 5336,379.61,1,
UltraGadget Advanced Charger 7529,4357.84,1,
DigiCorp Industrial Switch 4352,585.43,1,
UltraGadget Professional Tablet 8460,4473.66,1,
UltraGadget Portable Monitor 4228,4488.62,1,
MegaTech Heavy-Duty Charger 3071,772.15,1,
ElectroMax Superior Scanner 8581,4094.34,1,
InnovateTech Portable Phone 8106,2235.09,1,
UltraGadget Pro Charger 9469,4438.11,1,
TechVision Superior Monitor 4061,1178.56,1,
InnovateTech Enhanced Charger 8082,188.93,1,
ElectroMax Industrial Controller 5808,4389.41,1,
MegaTech Advanced Tablet 6119,2450.82,1,
MegaTech Advanced Mouse 5008,3010.97,1,
TechVision Industrial Microphone 9831,2804.18,1,
ProElectronics Pro Printer 4241,2791.07,1,
DigiCorp Advanced Scanner 9975,1557.4,1,
UltraGadget Heavy-Duty Laptop 3275,791.23,1,
ProElectronics Smart Scanner 8544,3724.31,1,
TechVision Advanced Cable 8751,3076.46,1,
InnovateTech Professional Scanner 7230,1848.98,1,
ProElectronics Advanced Laptop 2169,595.87,1,
TechVision Smart Cable 2149,4028.26,1,
ElectroMax Standard Charger 1903,338.11,1,
